timestamp,price,volume,spread,depth
2025-05-12 17:40:02.578056,50000.0,0.0,100.0,"{'bids': [(49950.0, 1000.0), (49900.0, 900.0), (49850.0, 800.0), (49800.0, 700.0), (49750.0, 600.0), (49700.0, 500.0), (49650.0, 399.9999999999999), (49600.0, 299.99999999999994), (49550.0, 199.99999999999994), (49500.0, 99.99999999999997)], 'asks': [(50050.0, 1000.0), (50100.0, 900.0), (50150.0, 800.0), (50200.0, 700.0), (50250.0, 600.0), (50300.0, 500.0), (50350.0, 399.9999999999999), (50400.0, 299.99999999999994), (50450.0, 199.99999999999994), (50500.0, 99.99999999999997)]}"
2025-05-12 18:40:02.578056,50011.69500000001,0.0,9.709999999999127,"{'bids': [(50006.840000000004, 187.61084733677427), (50006.520000000004, 348.32552294421765), (49989.76, 41.94506187141429), (49976.090000000004, 61.11109650432995), (49975.0, 3000000.0), (49959.01, 308.7042619637548), (49950.0, 1000.0), (49900.0, 900.0), (49850.0, 800.0), (49800.0, 700.0)], 'asks': [(50016.55, 311.8497690218966), (50025.0, 3000000.0), (50050.0, 1000.0), (50100.0, 900.0), (50150.0, 800.0), (50200.0, 700.0), (50250.0, 600.0), (50300.0, 500.0), (50350.0, 399.9999999999999), (50400.0, 299.99999999999994)]}"
2025-05-12 19:40:02.578056,50012.78,0.0,5.540000000000873,"{'bids': [(50010.01, 1172.5829750417238), (50009.950000000004, 39.06588952964514), (50008.47, 99.48570869777687), (50006.840000000004, 187.61084733677427), (50006.520000000004, 348.32552294421765), (49989.76, 41.94506187141429), (49986.700000000004, 3000000.0), (49976.090000000004, 61.11109650432995), (49975.0, 3000000.0), (49959.01, 308.7042619637548)], 'asks': [(50015.55, 196.77879808142688), (50016.55, 311.8497690218966), (50018.22, 537.9027914462247), (50025.0, 3000000.0), (50036.700000000004, 3000000.0), (50050.0, 1000.0), (50100.0, 900.0), (50150.0, 800.0), (50200.0, 700.0), (50250.0, 600.0)]}"
2025-05-12 20:40:02.578056,50010.965,0.0,1.5900000000037835,"{'bids': [(50010.17, 161.58797456408223), (50010.01, 1172.5829750417238), (50009.950000000004, 39.06588952964514), (50009.880000000005, 317.01409444145804), (50008.47, 99.48570869777687), (50006.840000000004, 187.61084733677427), (50006.520000000004, 348.32552294421765), (49989.76, 41.94506187141429), (49987.78, 3000000.0), (49986.700000000004, 3000000.0)], 'asks': [(50011.76, 158.42151726558188), (50011.950000000004, 166.45279984121385), (50012.15, 20.859924446396214), (50013.72, 28.480309950135368), (50014.020000000004, 208.68599731004764), (50015.55, 196.77879808142688), (50016.55, 311.8497690218966), (50018.22, 537.9027914462247), (50025.0, 3000000.0), (50036.700000000004, 3000000.0)]}"
2025-05-12 21:40:02.578056,50011.30500000001,0.0,0.6500000000014552,"{'bids': [(50010.98, 287.1488938482775), (50010.81, 123.15010465789415), (50010.380000000005, 397.9897012899183), (50010.17, 161.58797456408223), (50010.01, 1172.5829750417238), (50009.950000000004, 39.06588952964514), (50009.880000000005, 317.01409444145804), (50009.65, 424.25580727111554), (50008.47, 99.48570869777687), (50006.840000000004, 187.61084733677427)], 'asks': [(50011.630000000005, 141.59693012148432), (50011.76, 158.42151726558188), (50011.880000000005, 115.41461279117942), (50011.92, 1053.1919931700172), (50011.950000000004, 166.45279984121385), (50011.99, 609.5111459979005), (50012.15, 20.859924446396214), (50013.72, 28.480309950135368), (50014.020000000004, 208.68599731004764), (50015.55, 196.77879808142688)]}"
2025-05-12 22:40:02.578056,50011.505000000005,0.0,0.12999999999738066,"{'bids': [(50011.44, 217.688244418616), (50011.42, 187.1470263702171), (50011.35, 352.75804130835945), (50011.3, 285.1596454413597), (50011.19, 86.34282316905312), (50010.98, 287.1488938482775), (50010.81, 123.15010465789415), (50010.380000000005, 397.9897012899183), (50010.17, 161.58797456408223), (50010.01, 1172.5829750417238)], 'asks': [(50011.57, 103.181764402495), (50011.590000000004, 55.01551047407792), (50011.6, 43.90889671071204), (50011.630000000005, 141.59693012148432), (50011.76, 158.42151726558188), (50011.880000000005, 115.41461279117942), (50011.92, 1053.1919931700172), (50011.950000000004, 166.45279984121385), (50011.99, 609.5111459979005), (50012.15, 20.859924446396214)]}"
2025-05-12 23:40:02.578056,50011.55,0.0,0.01999999999679858,"{'bids': [(50011.54, 380.9109438564733), (50011.53, 591.9636111841235), (50011.520000000004, 213.01247565262102), (50011.51, 19.137156214719845), (50011.48, 66.72705080134664), (50011.44, 217.688244418616), (50011.42, 187.1470263702171), (50011.35, 352.75804130835945), (50011.3, 285.1596454413597), (50011.19, 86.34282316905312)], 'asks': [(50011.56, 43.010079058805566), (50011.57, 103.181764402495), (50011.590000000004, 55.01551047407792), (50011.6, 43.90889671071204), (50011.630000000005, 141.59693012148432), (50011.76, 158.42151726558188), (50011.880000000005, 115.41461279117942), (50011.92, 1053.1919931700172), (50011.950000000004, 166.45279984121385), (50011.99, 609.5111459979005)]}"
2025-05-13 00:40:02.578056,50011.545,0.0,0.010000000002037268,"{'bids': [(50011.54, 562.1614221752073), (50011.53, 1257.2301234969154), (50011.520000000004, 213.01247565262102), (50011.51, 19.137156214719845), (50011.48, 66.72705080134664), (50011.44, 217.688244418616), (50011.42, 187.1470263702171), (50011.35, 352.75804130835945), (50011.3, 285.1596454413597), (50011.19, 86.34282316905312)], 'asks': [(50011.55, 241.25041511969548), (50011.56, 713.0882007818786), (50011.57, 446.7742977014065), (50011.590000000004, 55.01551047407792), (50011.6, 43.90889671071204), (50011.630000000005, 141.59693012148432), (50011.76, 158.42151726558188), (50011.880000000005, 115.41461279117942), (50011.92, 1053.1919931700172), (50011.950000000004, 166.45279984121385)]}"
2025-05-13 01:40:02.578056,50011.545,0.0,0.010000000002037268,"{'bids': [(50011.54, 985.3762420083495), (50011.53, 1257.2301234969154), (50011.520000000004, 213.01247565262102), (50011.51, 19.137156214719845), (50011.48, 66.72705080134664), (50011.44, 217.688244418616), (50011.42, 187.1470263702171), (50011.35, 352.75804130835945), (50011.3, 285.1596454413597), (50011.19, 86.34282316905312)], 'asks': [(50011.55, 839.0702437568074), (50011.56, 713.0882007818786), (50011.57, 446.7742977014065), (50011.590000000004, 55.01551047407792), (50011.6, 43.90889671071204), (50011.630000000005, 141.59693012148432), (50011.76, 158.42151726558188), (50011.880000000005, 115.41461279117942), (50011.92, 1053.1919931700172), (50011.950000000004, 166.45279984121385)]}"
2025-05-13 02:40:02.578056,50011.545,0.0,0.010000000002037268,"{'bids': [(50011.54, 4307.853682395782), (50011.53, 1257.2301234969154), (50011.520000000004, 213.01247565262102), (50011.51, 19.137156214719845), (50011.48, 66.72705080134664), (50011.44, 217.688244418616), (50011.42, 187.1470263702171), (50011.35, 352.75804130835945), (50011.3, 285.1596454413597), (50011.19, 86.34282316905312)], 'asks': [(50011.55, 3168.7324869814965), (50011.56, 713.0882007818786), (50011.57, 446.7742977014065), (50011.590000000004, 55.01551047407792), (50011.6, 43.90889671071204), (50011.630000000005, 141.59693012148432), (50011.76, 158.42151726558188), (50011.880000000005, 115.41461279117942), (50011.92, 1053.1919931700172), (50011.950000000004, 166.45279984121385)]}"
